"title"	"blurb"	"url"	"target"	"retrievetime"
"Exclusive Music For DJs"	"DJ One Stop For Edits, Mash-Ups, Remixes. Browse, Listen, Purchase!"	"www.StrictlyHits.com"	"http://www.strictlyhits.com"	"2009-08-28 02:48:01"
"We Found Dennis Erik"	"Instant-Address, Phone, Age & More. Dennis Erik - Search Free Now."	"www.Intelius.com"	"http://www.intelius.com/redir.php?ReportType=34&qf=DENNIS&qn=ERIK&refer=3269&adword=Dennis%20erik&&qfilter%5Bpro%5D=on"	"2009-08-28 02:48:01"
"Ready For 2010 World Cup?"	"Find Official World Cup 2010 Gear & Accessories - Shop Online Today!"	"www.WorldSoccerShop.com"	"http://www.worldsoccershop.com/shop-by-league-world-cup-2010-qualifying-germany-national-soccer-team.html"	"2009-08-28 02:48:01"
"Ready For 2010 World Cup?"	"Find Official World Cup 2010 Gear & Accessories - Shop Online Today!"	"www.WorldSoccerShop.com"	"http://www.worldsoccershop.com/shop-by-league-world-cup-2010-qualifying-germany-national-soccer-team.html"	"2009-08-28 02:48:01"
"Ready For 2010 World Cup?"	"Find Official World Cup 2010 Gear & Accessories - Shop Online Today!"	"www.WorldSoccerShop.com"	"http://www.worldsoccershop.com/shop-by-league-world-cup-2010-qualifying-germany-national-soccer-team.html"	"2009-08-28 02:48:01"
"Reach Your Goals Today"	"Free Program to Reach Your Goals Get some help today! It's free."	"www.defineyourpath.com"	"http://www.defineyourpath.com/trial.html"	"2009-08-28 02:48:01"
"Soccer Training Services"	"Qualified, Loyal, Experienced Coach Private, Goal Keeper, Team Training"	"www.givengosoccer.com"	"http://www.givengosoccer.com"	"2009-08-28 02:48:01"
"Soccer on Fox Sports"	"Fox Soccer, the home of Champions TV Schedules, News, Videos & More!"	"FoxSports.com/FoxSoccer"	"http://msn.foxsports.com/foxsoccer/home"	"2009-08-28 02:48:01"
"Setting Goals For Life"	"Make Your Life Dreams Come True Free Ebook - Limited Time Only!"	"www.DreamManifesto.com"	"http://www.dreammanifesto.com/manifest?q=go"	"2009-08-28 02:48:01"
"Medizintechnik Klebstoffe"	"Verkleben von Nadeln, Kathetern, Beatmungsmasken, SchlÃƒÂ¤uchen, Optik"	"www.dymax.com/de"	"http://www.dymax.com/de/products/medical.php"	"2009-08-28 02:48:01"
"Lowest rate luxury hotels"	"Lowest guaranteed hotels rate Paris Hotels in Paris with internet"	"www.academiehotel.com"	"http://www.kleberhotel.com"	"2009-08-28 02:48:01"
"Mediz.InfoÃ‚Â®"	"Krankheit und Gesundheit leicht verstÃƒÂ¤ndlich erklÃƒÂ¤rt"	"www.mediz.info"	"http://www.mediz.info"	"2009-08-28 02:48:01"
"KlÃƒÂ©ber Anti-Vibration"	"KlÃƒÂ©ber & MÃƒÂ­chelin Anti-Vibration Couplings & Joints For Trains, Etc"	"www.merciaflexibles.co.uk"	"http://www.merciaflexibles.co.uk"	"2009-08-28 02:48:01"
"Medizintechnik Klebstoffe"	"Verkleben von Nadeln, Kathetern, Beatmungsmasken, SchlÃƒÂ¤uchen, Optik"	"www.dymax.com/de"	"http://www.dymax.com/de/products/medical.php"	"2009-08-28 02:48:01"
"Lowest rate luxury hotels"	"Lowest guaranteed hotels rate Paris Hotels in Paris with internet"	"www.academiehotel.com"	"http://www.kleberhotel.com"	"2009-08-28 02:48:01"
"Mediz.InfoÃ‚Â®"	"Krankheit und Gesundheit leicht verstÃƒÂ¤ndlich erklÃƒÂ¤rt"	"www.mediz.info"	"http://www.mediz.info"	"2009-08-28 02:48:01"
"KlÃƒÂ©ber Anti-Vibration"	"KlÃƒÂ©ber & MÃƒÂ­chelin Anti-Vibration Couplings & Joints For Trains, Etc"	"www.merciaflexibles.co.uk"	"http://www.merciaflexibles.co.uk"	"2009-08-28 02:48:01"
"Abdichten und Kleben"	"von Textilien, Leder, Filz oder Vulkanisieren mit GummilÃƒÂ¶sung"	"www.weiblen.de"	"http://www.weiblen.de/materialien-und-hilfstoffe/leime-und-kleber/"	"2009-08-28 02:48:01"
"Video Seks"	"Find Video Seks at Great Prices."	"www.Pronto.com"	"http://www.pronto.com/user/search.do?displayQuery=video%20seks&SEM=true&query=video%20seks&adid=1221795824-1589679d_0_gc&ref=video%20seks&creativeid=2503547534&site=www.klipkafe.net"	"2009-08-28 02:48:01"
"Video Seks"	"Find Video Seks at Great Prices."	"www.Pronto.com"	"http://www.pronto.com/user/search.do?displayQuery=video%20seks&SEM=true&query=video%20seks&adid=1221795824-1589679d_0_gc&ref=video%20seks&creativeid=2503547534&site=www.klipvideo.net"	"2009-08-28 02:48:01"
"Sip Klip - Savings"	"Plates, Bowls and More for Less. Find Bargains on Sip Klip!"	"www.NexTag.com/Food-and-Beverage"	"http://www.nextag.com/goto.jsp?p=4658&search=sip%20klip&t=ag%3D1241604789&crid=9404&gg_site=www.klipvideo.net&gg_aid=3234497109"	"2009-08-28 02:48:01"
"Evas UnderklÃƒÂ¤der"	"Stort utbud med snygga underklÃƒÂ¤der Korsetter, Trosor, BH, Strumpbyxor"	"www.evasunderklader.se"	"http://www.evasunderklader.se"	"2009-08-28 02:48:01"
"Linser PÃƒÂ¥ NÃƒÂ¤tet"	"Enkelt, snabbt och billigt Linserna kommer hem i brevlÃƒÂ¥ndan"	"www.Lensway.se/Linser"	"http://www.tkqlhce.com/eb100p19y58NQSQPUPVNPOSRTTQW?sid=google_linser&t202kw=linser%20p%C3%A5%20n%C3%A4tet&t202c=3378314462&t202t=c&t202p=www.kladeronline.net"	"2009-08-28 02:48:01"
"Chatta med thailÃƒÂ¤ndskor"	"Vackra thailÃƒÂ¤ndska kvinnor sÃƒÂ¶ker utlÃƒÂ¤ndska mÃƒÂ¤n att dejta chatta nu!"	"www.ThaiLoveLinks.com"	"http://www.ThaiLoveLinks.com/Swedish/Default.cfm?ovchn=GGL&ovcpn=Swedish+All+Of+The+World+Content+Thailand+Chat&ovcrn=thailand+chatt&ovtac=PPC"	"2009-08-28 02:48:01"
"TvÃƒÂ¤ttnÃƒÂ¶tter: ett riktigt"	"miljÃƒÂ¶vÃƒÂ¤nligt sÃƒÂ¤tt att tvÃƒÂ¤tta klÃƒÂ¤der ÃƒÂ…terfÃƒÂ¶rsÃƒÂ¤ljare, privat och fÃƒÂ¶retag."	"www.flkimport.com"	"http://www.flkimport.com/tvattnotter-S.html"	"2009-08-28 02:48:01"
"LÃƒÂ¥na Pengar"	"JÃƒÂ¤mfÃƒÂ¶r och ansÃƒÂ¶k om privatlÃƒÂ¥n pÃƒÂ¥ PrivatlÃƒÂ¥net.se!"	"www.privatlanet.se"	"http://www.privatlanet.se"	"2009-08-28 02:48:01"
"Evas UnderklÃƒÂ¤der"	"Stort utbud med snygga underklÃƒÂ¤der Korsetter, Trosor, BH, Strumpbyxor"	"www.evasunderklader.se"	"http://www.evasunderklader.se"	"2009-08-28 02:48:01"
"Evas UnderklÃƒÂ¤der"	"Stort utbud med snygga underklÃƒÂ¤der Korsetter, Trosor, BH, Strumpbyxor"	"www.evasunderklader.se"	"http://www.evasunderklader.se"	"2009-08-28 02:48:01"
"Nowe Polskie Randki"	"dla PolakÃƒÂ³w w USA Zarejestruj siÃ„Â™ juÃ…Â¼ dziÃ…Â› za darmo"	"polishdating.us"	"http://polishdating.us"	"2009-08-28 02:48:01"
"KsiÃ„Â™garnia PWN online"	"Wszystkie tytuÃ…Â‚y wydawnictwa PWN Najtaniej na rynku. SprawdÃ…Âº!"	"Ksiegarnia.pwn.pl"	"http://ksiegarnia.pwn.pl/"	"2009-08-28 02:48:01"
"Fitness Club Warszawa"	"Free Fitness Club Warszawa info Find what you're looking for!"	"www.ixquick.com"	"http://www.track-ppc.com/?k=fitness+club+warszawa&c=2602&r=ixquick.com&n=1"	"2009-08-28 02:48:01"
"RVA Versicherungsbroker"	"Ihr ungebundener KMU-Broker fÃƒÂ¼r sÃƒÂ¤mtliche Versicherungen"	"www.rva-ag.com"	"http://www.rva-ag.com"	"2009-08-28 02:48:01"
"Omnibusversicherungen"	"Wo gÃƒÂ¼nstige Busversicherungen? So bleiben Busse dauerhaft gÃƒÂ¼nstig!"	"www.dittmeier.de"	"http://www.dittmeier.de"	"2009-08-28 02:48:01"
"Haus am Wettebad i.AllgÃƒÂ¤u"	"komf. GÃƒÂ¤stezimmer o. Ferienwohnung Sat/TV, WLAN, Internet, gr. Garten"	"www.hartmannfm.de"	"http://www.hartmannfm.de"	"2009-08-28 02:48:01"
"Solaria - Davos"	"Individuelles Ferienwohnen mit umfassendem Serviceangebot"	"www.solaria.ch"	"http://www.solaria.ch"	"2009-08-28 02:48:01"
"3-Stern Hotels Wien"	"Mitten in Wien Ã¢Â€Â“ Zentrale Lage und super Service billig buchen!"	"www.allyouneedhotels.at"	"http://www.allyouneedhotels.at"	"2009-08-28 02:48:01"
"Ferienwohnung Ferienhaus"	"50 % Rabatt weltweit inserieren Ã¢Â‚Â¬ 69 fÃƒÂ¼r 24 Monate auf 9 Portalen"	"www.feriendomizile-online.com"	"http://www.feriendomizile-online.com/de/vermieterinfo/"	"2009-08-28 02:48:01"
"Considere La Bancarrota"	"Considere Declararse en Bancarrota. Solicita una evaluaciÃƒÂ³n gratuita."	"www.AbogadoDeBancarrota.com"	"http://www.abogadodebancarrota.com/eval.aspx?source=google"	"2009-08-28 02:48:01"
"2009 Auto Prices"	"Find the Lowest Possible Prices! Auto Research & Ratings"	"www.Edmunds.com"	"http://www.edmunds.com/honda/index.html?mktcat=make-honda&kw=make+honda&mktid=gc11644565"	"2009-08-28 02:48:01"
"Considere La Bancarrota"	"Considere Declararse en Bancarrota. Solicita una evaluaciÃƒÂ³n gratuita."	"www.AbogadoDeBancarrota.com"	"http://www.abogadodebancarrota.com/eval.aspx?source=google"	"2009-08-28 02:48:01"
"2009 Auto Prices"	"Find the Lowest Possible Prices! Auto Research & Ratings"	"www.Edmunds.com"	"http://www.edmunds.com/honda/index.html?mktcat=make-honda&kw=make+honda&mktid=gc11644565"	"2009-08-28 02:48:01"
"Carros usados"	"Encuentra tu auto aquÃƒÂ­, o publica el tuyo gratis."	"www.coches-usados.net/EEUU"	"http://www.coches-usados.net/EEUU"	"2009-08-28 02:48:01"
"COMPRAR COCHES USADOS"	"Busca Autos Nuevos en tu ÃƒÂrea ObtÃƒÂ©n una CotiziaciÃƒÂ³n GRATIS"	"AutosAhora.com"	"http://www.autosahora.com/forms/autos_nuevos.php?partner=Google&affid=COMPRAR%20COCHES%20USADOS&v=Comprar4&c=cxdwautautsiu"	"2009-08-28 02:48:01"
"Media Content Analysis"	"reliability, validity, movie lists, movie tobacco, sex, violence etc.,"	"www.youthmediarisk.org"	"http://www.youthmediarisk.org"	"2009-08-28 02:48:01"
"Media Content Analysis"	"reliability, validity, movie lists, movie tobacco, sex, violence etc.,"	"www.youthmediarisk.org"	"http://www.youthmediarisk.org"	"2009-08-28 02:48:01"
"Media Content Analysis"	"reliability, validity, movie lists, movie tobacco, sex, violence etc.,"	"www.youthmediarisk.org"	"http://www.youthmediarisk.org"	"2009-08-28 02:48:01"
"Printable DVD-R Media"	"Inkjet &Thermal starting $0.23/disc Prodisc,Ritek,Philips,Taiyo & more"	"www.emediadepot.com"	"https://www.emediadepot.com/White_inkjet_printable_DVD_R_DVD_R_s/52.htm"	"2009-08-28 02:48:01"
"Partner gesucht?"	"Die groÃƒÂŸe Partnersuche mit 10 Mio. Mitgliedern. Jetzt gratis anmelden!"	"www.FriendScout24.de/Partnersuche"	"http://akatracking.esearchvision.com/esi/redirect.html?esvt=328321-GODEC331423007&esvq=partnersuche%20b%C3%B6rse&esvadt=999999-0-3705602-1&esvcrea=3484969630&esvplace=www.kostenlosepartnersuche.net&transferparams=0&esvaid=10120&url=http%3a%2f%2fwww.friendscout24.de%2f24%2fsearch.html%3fopt%3dse%26frs_ref%3deSearch%26frs_affil%3db_0102_c_005_c_070"	"2009-08-28 02:48:01"
"Erstklassige PartnerbÃƒÂ¶rse"	"Die Premium-PartnerbÃƒÂ¶rsen: Aus kultivierten Singles wÃƒÂ¤hlen"	"ElitePartner.de"	"http://www.elitepartner.de/km/sem.do?emnad_id=6144"	"2009-08-28 02:48:01"
"Meet Japanese Singles"	"Find Your Japanese Partner Today. Browse Photo Profiles. Join Free!"	"www.JapanCupid.com"	"http://www.JapanCupid.com/?ovchn=GGL&ovcpn=English+USA+Content+Japanese+Dating&ovcrn=content&ovtac=PPC"	"2009-08-28 02:48:01"
"Single Ukraine Ladies"	"Ukrainian girls and women are looking for dating with foreign men"	"www.online-dating-ukraine.com"	"http://www.online-dating-ukraine.com/?advID=69907"	"2009-08-28 02:48:01"
"Canadian Singles - Pics"	"Meet local singles for dating. Browse profiles. Free to register."	"CanadianMatcher.com"	"http://canadianmatcher.com/?CID=ZCanSin111506"	"2009-08-28 02:48:01"
"Partner gesucht?"	"Die groÃƒÂŸe Partnersuche mit 10 Mio. Mitgliedern. Jetzt gratis anmelden!"	"www.FriendScout24.de/Partnersuche"	"http://akatracking.esearchvision.com/esi/redirect.html?esvt=328321-GODEC331423007&esvq=partnersuche%20b%C3%B6rse&esvadt=999999-0-3705602-1&esvcrea=3484969630&esvplace=www.kostenlosepartnersuche.net&transferparams=0&esvaid=10120&url=http%3a%2f%2fwww.friendscout24.de%2f24%2fsearch.html%3fopt%3dse%26frs_ref%3deSearch%26frs_affil%3db_0102_c_005_c_070"	"2009-08-28 02:48:01"
"Partnersuche Single"	"Niveauvolle Singles kennen lernen bei ElitePartner.de. Gratis testen."	"ElitePartner.de/Partnersuche"	"http://www.elitepartner.de/km/sem.do?emnad_id=6144"	"2009-08-28 02:48:01"
